epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,159.398,0.79777,0.87748,1.38294,0.84008,0.48273,0.53433,0.26423,1.85362,2.10642,1.51174,1.43596e-05,1.43596e-05,1.43596e-05
89,161.172,0.99987,0.93401,1.48385,0.84008,0.48273,0.53433,0.26423,1.85362,2.10642,1.51174,1.34879e-05,1.34879e-05,1.34879e-05
90,162.966,0.65039,0.63844,1.01092,0.84008,0.48273,0.53433,0.26423,1.85362,2.10642,1.51174,1.25927e-05,1.25927e-05,1.25927e-05
91,164.734,0.46085,0.51751,0.89023,0.84008,0.48273,0.53433,0.26423,1.85362,2.10642,1.51174,1.16739e-05,1.16739e-05,1.16739e-05
92,166.647,0.71592,0.70171,0.99527,0.83653,0.48464,0.53404,0.28824,1.86823,2.05631,1.5003,1.07315e-05,1.07315e-05,1.07315e-05
93,168.439,0.47644,0.45751,0.98662,0.83653,0.48464,0.53404,0.28824,1.86823,2.05631,1.5003,9.76562e-06,9.76562e-06,9.76562e-06
94,170.14,0.5475,0.43555,0.88687,0.83653,0.48464,0.53404,0.28824,1.86823,2.05631,1.5003,8.77613e-06,8.77613e-06,8.77613e-06
95,171.861,0.43141,0.4547,0.89769,0.83653,0.48464,0.53404,0.28824,1.86823,2.05631,1.5003,7.76308e-06,7.76308e-06,7.76308e-06
96,173.729,0.43964,0.50615,0.96112,0.84182,0.4653,0.54917,0.29427,1.77404,1.9787,1.44483,6.72648e-06,6.72648e-06,6.72648e-06
97,175.458,0.69399,0.60114,1.05665,0.84182,0.4653,0.54917,0.29427,1.77404,1.9787,1.44483,5.6663e-06,5.6663e-06,5.6663e-06
98,177.184,0.51756,0.48812,0.90982,0.84182,0.4653,0.54917,0.29427,1.77404,1.9787,1.44483,4.58257e-06,4.58257e-06,4.58257e-06
99,178.977,0.47689,0.46003,0.90963,0.84182,0.4653,0.54917,0.29427,1.77404,1.9787,1.44483,3.47528e-06,3.47528e-06,3.47528e-06
100,180.801,0.56188,0.49872,1.00635,0.83143,0.46667,0.57933,0.32017,1.70083,1.84484,1.41578,2.34442e-06,2.34442e-06,2.34442e-06
